Date;Diesel Prices
févr 05, 2007;2,463
févr 12, 2007;2,502
févr 19, 2007;2,515
févr 26, 2007;2,571
mars 05, 2007;2,64
mars 12, 2007;2,695
mars 19, 2007;2,694
mars 26, 2007;2,69
avr 02, 2007;2,803
avr 09, 2007;2,853
avr 16, 2007;2,887
avr 23, 2007;2,863
avr 30, 2007;2,831
mai 07, 2007;2,816
mai 14, 2007;2,797
mai 21, 2007;2,822
mai 28, 2007;2,836
juin 04, 2007;2,819
juin 11, 2007;2,814
juin 18, 2007;2,822
juin 25, 2007;2,847
juil 02, 2007;2,842
juil 09, 2007;2,859
juil 16, 2007;2,902
juil 23, 2007;2,903
juil 30, 2007;2,899
août 06, 2007;2,91
août 13, 2007;2,861
août 20, 2007;2,878
août 27, 2007;2,873
sept 03, 2007;2,901
sept 10, 2007;2,932
sept 17, 2007;2,971
sept 24, 2007;3,038
oct 01, 2007;3,055
oct 08, 2007;3,046
oct 15, 2007;3,053
oct 22, 2007;3,11
oct 29, 2007;3,171
nov 05, 2007;3,314
nov 12, 2007;3,438
nov 19, 2007;3,426
nov 26, 2007;3,456
déc 03, 2007;3,433
déc 10, 2007;3,345
déc 17, 2007;3,325
déc 24, 2007;3,321
déc 31, 2007;3,356
janv 07, 2008;3,387
janv 14, 2008;3,341
janv 21, 2008;3,286
janv 28, 2008;3,272
févr 04, 2008;3,291
févr 11, 2008;3,291
févr 18, 2008;3,405
févr 25, 2008;3,558
mars 03, 2008;3,666
mars 10, 2008;3,825
mars 17, 2008;3,982
mars 24, 2008;3,998
mars 31, 2008;3,976
avr 07, 2008;3,966
avr 14, 2008;4,069
avr 21, 2008;4,153
avr 28, 2008;4,187
mai 05, 2008;4,162
mai 12, 2008;4,339
mai 19, 2008;4,504
mai 26, 2008;4,731
juin 02, 2008;4,716
juin 09, 2008;4,702
juin 16, 2008;4,702
juin 23, 2008;4,659
juin 30, 2008;4,657
juil 07, 2008;4,733
juil 14, 2008;4,771
juil 21, 2008;4,729
juil 28, 2008;4,614
août 04, 2008;4,515
août 11, 2008;4,368
août 18, 2008;4,219
août 25, 2008;4,158
sept 01, 2008;4,135
sept 08, 2008;4,075
sept 15, 2008;4,035
sept 22, 2008;3,967
sept 29, 2008;3,969
oct 06, 2008;3,887
oct 13, 2008;3,672
oct 20, 2008;3,497
oct 27, 2008;3,3
nov 03, 2008;3,1
nov 10, 2008;2,958
nov 17, 2008;2,822
nov 24, 2008;2,676
déc 01, 2008;2,624
déc 08, 2008;2,523
déc 15, 2008;2,43
déc 22, 2008;2,373
déc 29, 2008;2,335
janv 05, 2009;2,299
janv 12, 2009;2,324
janv 19, 2009;2,307
janv 26, 2009;2,278
févr 02, 2009;2,256
févr 09, 2009;2,23
févr 16, 2009;2,197
févr 23, 2009;2,138
mars 02, 2009;2,095
mars 09, 2009;2,051
mars 16, 2009;2,023
mars 23, 2009;2,093
mars 30, 2009;2,225
avr 06, 2009;2,233
avr 13, 2009;2,234
avr 20, 2009;2,226
avr 27, 2009;2,207
mai 04, 2009;2,192
mai 11, 2009;2,223
mai 18, 2009;2,237
mai 25, 2009;2,278
juin 01, 2009;2,354
juin 08, 2009;2,501
juin 15, 2009;2,575
juin 22, 2009;2,619
juin 29, 2009;2,612
juil 06, 2009;2,598
juil 13, 2009;2,546
juil 20, 2009;2,501
juil 27, 2009;2,532
août 03, 2009;2,554
août 10, 2009;2,628
août 17, 2009;2,656
août 24, 2009;2,672
août 31, 2009;2,679
sept 07, 2009;2,65
sept 14, 2009;2,638
sept 21, 2009;2,626
sept 28, 2009;2,606
oct 05, 2009;2,588
oct 12, 2009;2,604
oct 19, 2009;2,708
oct 26, 2009;2,805
nov 02, 2009;2,811
nov 09, 2009;2,805
nov 16, 2009;2,795
nov 23, 2009;2,792
nov 30, 2009;2,78
déc 07, 2009;2,777
déc 14, 2009;2,753
déc 21, 2009;2,731
déc 28, 2009;2,736
janv 04, 2010;2,801
janv 11, 2010;2,882
janv 18, 2010;2,874
janv 25, 2010;2,838
févr 01, 2010;2,787
févr 08, 2010;2,775
févr 15, 2010;2,761
févr 22, 2010;2,834
mars 01, 2010;2,865
mars 08, 2010;2,906
mars 15, 2010;2,926
mars 22, 2010;2,949
mars 29, 2010;2,942
avr 05, 2010;3,017
avr 12, 2010;3,073
avr 19, 2010;3,078
avr 26, 2010;3,082
mai 03, 2010;3,126
mai 10, 2010;3,131
mai 17, 2010;3,098
mai 24, 2010;3,025
mai 31, 2010;2,983
juin 07, 2010;2,949
juin 14, 2010;2,93
juin 21, 2010;2,962
juin 28, 2010;2,957
juil 05, 2010;2,925
juil 12, 2010;2,904
juil 19, 2010;2,899
juil 26, 2010;2,919
août 02, 2010;2,928
août 09, 2010;2,991
août 16, 2010;2,979
août 23, 2010;2,957
août 30, 2010;2,938
sept 06, 2010;2,931
sept 13, 2010;2,943
sept 20, 2010;2,96
sept 27, 2010;2,951
oct 04, 2010;3
oct 11, 2010;3,066
oct 18, 2010;3,073
oct 25, 2010;3,067
nov 01, 2010;3,067
nov 08, 2010;3,116
nov 15, 2010;3,184
nov 22, 2010;3,171
nov 29, 2010;3,162
déc 06, 2010;3,197
déc 13, 2010;3,231
déc 20, 2010;3,248
déc 27, 2010;3,294
janv 03, 2011;3,331
janv 10, 2011;3,333
janv 17, 2011;3,407
janv 24, 2011;3,43
janv 31, 2011;3,438
févr 07, 2011;3,513
févr 14, 2011;3,534
févr 21, 2011;3,573
févr 28, 2011;3,716
mars 07, 2011;3,871
mars 14, 2011;3,908
mars 21, 2011;3,907
mars 28, 2011;3,932
avr 04, 2011;3,976
avr 11, 2011;4,078
avr 18, 2011;4,105
avr 25, 2011;4,098
mai 02, 2011;4,124
mai 09, 2011;4,104
mai 16, 2011;4,061
mai 23, 2011;3,997
mai 30, 2011;3,948
juin 06, 2011;3,94
juin 13, 2011;3,954
juin 20, 2011;3,95
juin 27, 2011;3,888
juil 04, 2011;3,85
juil 11, 2011;3,899
juil 18, 2011;3,923
juil 25, 2011;3,949
août 01, 2011;3,937
août 08, 2011;3,897
août 15, 2011;3,835
août 22, 2011;3,81
août 29, 2011;3,82
sept 05, 2011;3,868
sept 12, 2011;3,862
sept 19, 2011;3,833
sept 26, 2011;3,786
oct 03, 2011;3,749
oct 10, 2011;3,721
oct 17, 2011;3,801
oct 24, 2011;3,825
oct 31, 2011;3,892
nov 07, 2011;3,887
nov 14, 2011;3,987
nov 21, 2011;4,01
nov 28, 2011;3,964
déc 05, 2011;3,931
déc 12, 2011;3,894
déc 19, 2011;3,828
déc 26, 2011;3,791
janv 02, 2012;3,783
janv 09, 2012;3,828
janv 16, 2012;3,854
janv 23, 2012;3,848
janv 30, 2012;3,85
févr 06, 2012;3,856
févr 13, 2012;3,943
févr 20, 2012;3,96
févr 27, 2012;4,051
mars 05, 2012;4,094
mars 12, 2012;4,123
mars 19, 2012;4,142
mars 26, 2012;4,147
avr 02, 2012;4,142
avr 09, 2012;4,148
avr 16, 2012;4,127
avr 23, 2012;4,085
avr 30, 2012;4,073
mai 07, 2012;4,057
mai 14, 2012;4,004
mai 21, 2012;3,956
mai 28, 2012;3,897
juin 04, 2012;3,846
juin 11, 2012;3,781
juin 18, 2012;3,729
juin 25, 2012;3,678
juil 02, 2012;3,648
juil 09, 2012;3,683
juil 16, 2012;3,695
juil 23, 2012;3,783
juil 30, 2012;3,796
août 06, 2012;3,85
août 13, 2012;3,965
août 20, 2012;4,026
août 27, 2012;4,089
sept 03, 2012;4,127
sept 10, 2012;4,132
sept 17, 2012;4,135
sept 24, 2012;4,086
oct 01, 2012;4,079
oct 08, 2012;4,094
oct 15, 2012;4,15
oct 22, 2012;4,116
oct 29, 2012;4,03
