,Departure,Arrival,WeeksToDeparture,log_PAX,std_wtd,temperature_depart,temperature_arrival,wage_median_depart,beach_depart,passenger_per_year_depart,population_depart,score_depart,wage_median_arrival,beach_arrival,passenger_per_year_arrival,population_arrival,score_arrival,Open,prix,is_holiday,year,month,day,weekday,week,n_days,weekend,ete,beach_ete_dep,beach_ete_arr,precipitations_depart,precipitations_arrival,diff_temp,distance
0,LAS,ORD,12.0,11.0082680593,9.860937847799999,40.0,19.0,55440.66666666666,0,46505.605,593275,1068475,58419.66666666666,1,75120.345,2719141,1503175,10.07,3.9560000000000004,0,2012,5,21,0,21,15481,1,1,0,1,0,1,21.0,2430.1661221101435
1,SFO,DEN,10.6,10.9826146183,9.954633938130002,16.0,8.0,82083.0,1,49668.40966666667,828876,1112475,55482.66666666666,0,59852.55,635163,1103275,13.49,3.945,0,2012,12,20,3,51,15694,0,0,0,0,0,0,8.0,1551.7999287765956
2,SFO,LAS,14.08,10.515394758200001,10.5195056918,16.0,8.0,82083.0,1,49668.40966666667,828876,1112475,55440.66666666666,0,46505.605,593275,1068475,13.49,3.945,0,2012,12,20,3,51,15694,0,0,0,0,0,0,8.0,664.4740712604886
3,LGA,DTW,11.95,10.3343221655,9.207977090830001,14.0,10.0,76578.33333333331,1,30187.395,8346693,1030575,44130.0,0,36522.355,700183,1079375,12.17,4.03,0,2012,11,1,3,44,15645,0,0,0,0,0,0,4.0,804.629309947993
4,DEN,LAS,11.4761904762,10.075862331,9.35210696912,13.0,19.0,55482.66666666666,0,59852.55,635163,1103275,55440.66666666666,0,46505.605,593275,1068475,5.2,3.783,0,2012,1,3,1,1,15342,1,0,0,0,0,0,-6.0,1008.7308944102843
5,LAX,ATL,13.4444444444,11.033573410299999,10.3638919528,19.0,16.0,59541.33333333334,1,73928.40566666667,3851202,1335475,61467.66666666666,0,105911.923,449016,2002475,11.78,3.9760000000000004,0,2012,11,19,0,47,15663,1,0,0,0,1,0,3.0,3123.8140155579513
6,LAX,EWR,13.9230769231,10.1660545572,9.86275043555,19.0,9.0,59541.33333333334,1,73928.40566666667,3851202,1335475,70432.66666666669,1,40186.30133333334,277594,1064475,11.78,3.9760000000000004,0,2012,11,19,0,47,15663,1,0,0,0,1,0,10.0,3938.5359427670055
7,JFK,MIA,13.9259259259,10.515394758200001,9.44590235102,22.0,29.0,76578.33333333331,1,57445.57766666666,8346693,1052075,52492.33333333334,1,44521.62966666668,411149,1073075,13.01,3.897,0,2012,6,1,4,22,15492,0,1,1,1,1,1,-7.0,1756.0183179672956
8,DEN,ATL,12.409090909100001,10.9302242139,10.4044820512,20.0,27.0,55482.66666666666,0,59852.55,635163,1103275,61467.66666666666,0,105911.923,449016,2002475,7.75,4.148,0,2012,4,9,0,15,15439,1,0,0,0,0,0,-7.0,1925.4082125567688
9,DEN,SEA,10.25,10.892655086500001,6.97269109115,20.0,20.0,55482.66666666666,0,59852.55,635163,1103275,78112.66666666669,1,39551.456,635928,1038675,7.75,4.148,0,2012,4,9,0,15,15439,1,0,0,0,0,0,0.0,1644.0329849284549
10,SFO,DFW,12.68,11.256026543299999,8.41981789193,19.0,24.0,82083.0,1,49668.40966666667,828876,1112475,53078.66666666666,0,66233.791,1242115,1203175,5.39,3.721,1,2011,10,10,0,41,15257,1,1,1,0,1,1,-5.0,2350.4643784146856
11,ATL,DEN,9.47368421053,10.7924233148,6.52659874882,13.0,9.0,61467.66666666666,0,105911.923,449016,2002475,55482.66666666666,0,59852.55,635163,1103275,14.83,3.8939999999999997,0,2013,1,17,3,3,15722,0,0,0,0,1,0,4.0,1925.4082125567688
12,LAS,DEN,12.3636363636,10.5417552784,9.96921668865,20.0,12.0,55440.66666666666,0,46505.605,593275,1068475,55482.66666666666,0,59852.55,635163,1103275,12.66,4.027,0,2012,12,7,4,49,15681,0,0,0,0,0,0,8.0,1008.7308944102843
13,ATL,DEN,9.0,9.84355587324,5.62731433871,21.0,22.0,61467.66666666666,0,105911.923,449016,2002475,55482.66666666666,0,59852.55,635163,1103275,12.47,3.9760000000000004,0,2012,11,21,2,47,15665,0,0,0,0,0,0,-1.0,1925.4082125567688
14,ATL,MCO,12.461538461500002,10.9513573097,9.54664661221,21.0,23.0,61467.66666666666,0,105911.923,449016,2002475,51069.33333333334,1,39794.08733333334,249935,1044075,12.47,3.9760000000000004,0,2012,11,21,2,47,15665,0,0,0,0,0,0,-2.0,650.3277831217129
15,LAX,EWR,17.7741935484,10.8432124801,12.8729941542,22.0,23.0,59541.33333333334,1,73928.40566666667,3851202,1335475,70432.66666666669,1,40186.30133333334,277594,1064475,13.01,3.897,0,2012,6,1,4,22,15492,0,1,1,1,1,1,-1.0,3938.5359427670055
16,LAS,DFW,12.416666666700001,10.5482875994,8.48485436665,36.0,36.0,55440.66666666666,0,46505.605,593275,1068475,53078.66666666666,0,66233.791,1242115,1203175,5.68,3.833,0,2011,9,24,5,38,15241,0,0,0,0,1,0,0.0,1693.7358514452706
17,LGA,CLT,7.8,8.73206122178,5.722137462769999,17.0,25.0,76578.33333333331,1,30187.395,8346693,1030575,60171.33333333334,0,47719.872,773264,1028075,13.01,3.897,0,2012,6,2,5,22,15493,0,1,1,0,1,0,-8.0,874.3785268557217
18,LGA,CLT,6.22222222222,8.218424556619999,6.666666666669999,4.0,10.0,76578.33333333331,1,30187.395,8346693,1030575,60171.33333333334,0,47719.872,773264,1028075,8.84,3.8560000000000003,0,2012,2,11,5,6,15381,0,0,0,0,1,0,-6.0,874.3785268557217
19,ORD,LAX,13.32,12.5012833145,9.93193502462,38.0,21.0,58419.66666666666,1,75120.345,2719141,1503175,59541.33333333334,1,73928.40566666667,3851202,1335475,13.13,3.678,0,2012,6,28,3,26,15519,0,1,1,1,1,1,17.0,2800.356708816837
20,ATL,DTW,9.444444444439998,8.79988599646,6.95550752766,18.0,8.0,61467.66666666666,0,105911.923,449016,2002475,44130.0,0,36522.355,700183,1079375,5.19,3.7910000000000004,1,2012,1,1,6,52,15340,0,0,0,0,0,1,10.0,957.5959918671941
21,DEN,ORD,9.70588235294,8.62546216576,9.537850294239998,-9.0,1.0,55482.66666666666,0,59852.55,635163,1103275,58419.66666666666,1,75120.345,2719141,1503175,13.34,3.923,1,2012,12,25,1,52,15699,1,0,0,0,1,1,-10.0,1425.1266950703268
22,EWR,LAX,13.961538461500002,11.1026544839,9.493074398660001,23.0,27.0,70432.66666666669,1,40186.30133333334,277594,1064475,59541.33333333334,1,73928.40566666667,3851202,1335475,6.48,3.721,0,2011,10,14,4,41,15261,0,1,1,1,1,1,-4.0,3938.5359427670055
23,PHL,BOS,8.75,11.5562180675,6.72805073306,27.0,29.0,39645.333333333336,0,34276.636,1551824,1031075,57755.0,1,33827.65333333333,642955,1035875,5.39,3.721,1,2011,10,10,0,41,15257,1,1,0,1,0,0,-2.0,449.8593565253816
24,DTW,LGA,12.8,9.621513053360001,9.21502396452,29.0,27.0,44130.0,0,36522.355,700183,1079375,76578.33333333331,1,30187.395,8346693,1030575,10.89,4.0889999999999995,0,2012,9,1,5,35,15584,0,0,0,0,0,0,2.0,804.629309947993
25,DTW,ATL,12.4545454545,9.55606859269,9.32343321564,29.0,33.0,44130.0,0,36522.355,700183,1079375,61467.66666666666,0,105911.923,449016,2002475,10.89,4.0889999999999995,0,2012,9,1,5,35,15584,0,0,0,0,0,0,-4.0,957.5959918671941
26,LAS,LAX,18.6216216216,11.4142063017,13.1579113324,44.0,26.0,55440.66666666666,0,46505.605,593275,1068475,59541.33333333334,1,73928.40566666667,3851202,1335475,10.36,3.85,0,2012,8,9,3,32,15561,0,0,0,0,1,0,18.0,379.7556938118438
27,MSP,ORD,9.444444444439998,11.619696843699998,7.35024787275,1.0,4.0,69940.0,0,37523.137,392768,1085275,58419.66666666666,1,75120.345,2719141,1503175,6.95,4.093999999999999,0,2012,3,9,4,10,15408,0,0,0,0,0,0,-3.0,536.658170112283
28,LGA,MIA,10.8,11.552415873,7.7771595410100005,4.0,27.0,76578.33333333331,1,30187.395,8346693,1030575,52492.33333333334,1,44521.62966666668,411149,1073075,14.24,3.8939999999999997,0,2013,1,15,1,3,15720,1,0,0,0,1,0,-23.0,1767.267073831831
29,JFK,MCO,14.703703703699999,11.1739361192,10.472729476,20.0,29.0,76578.33333333331,1,57445.57766666666,8346693,1052075,51069.33333333334,1,39794.08733333334,249935,1044075,11.63,4.15,0,2012,10,21,6,42,15634,0,1,1,1,0,0,-9.0,1520.4334212880337
30,PHL,DFW,4.5,8.62546216576,3.0276503541000004,27.0,24.0,39645.333333333336,0,34276.636,1551824,1031075,53078.66666666666,0,66233.791,1242115,1203175,9.77,4.127,0,2012,4,21,5,16,15451,0,0,0,0,1,0,3.0,2091.5626556148663
31,JFK,SFO,13.827586206900001,12.4759404498,10.4028463327,23.0,17.0,76578.33333333331,1,57445.57766666666,8346693,1052075,82083.0,1,49668.40966666667,828876,1112475,12.16,3.9560000000000004,0,2012,5,25,4,21,15485,0,1,1,1,1,0,6.0,4149.17959706262
32,ORD,EWR,10.05,10.6498079399,6.8554626700900005,14.0,12.0,58419.66666666666,1,75120.345,2719141,1503175,70432.66666666669,1,40186.30133333334,277594,1064475,7.91,4.147,0,2012,4,1,6,13,15431,0,0,0,0,1,1,2.0,1153.7288152699984
33,ORD,LGA,13.125,12.594997983199999,11.5995221041,14.0,11.0,58419.66666666666,1,75120.345,2719141,1503175,76578.33333333331,1,30187.395,8346693,1030575,7.91,4.147,0,2012,4,1,6,13,15431,0,0,0,0,1,1,3.0,1176.3160984153205
34,ORD,SEA,14.862068965499999,11.3727606904,9.83334029111,28.0,25.0,58419.66666666666,1,75120.345,2719141,1503175,78112.66666666669,1,39551.456,635928,1038675,13.58,3.695,0,2012,7,19,3,29,15540,0,0,0,0,1,0,3.0,2760.0176726156906
35,DEN,MSP,9.8,11.033573410299999,6.54217089352,36.0,27.0,55482.66666666666,0,59852.55,635163,1103275,69940.0,0,37523.137,392768,1085275,11.34,3.783,0,2012,7,27,4,30,15548,0,0,0,0,1,0,9.0,1091.6666384843295
36,SFO,ORD,14.7307692308,10.528621592,11.283820956800001,19.0,0.0,82083.0,1,49668.40966666667,828876,1112475,58419.66666666666,1,75120.345,2719141,1503175,12.48,3.9760000000000004,0,2012,11,24,5,47,15668,0,0,0,0,0,0,19.0,2962.1022796065768
37,SFO,BOS,16.8387096774,10.4683478299,11.969674944600001,19.0,9.0,82083.0,1,49668.40966666667,828876,1112475,57755.0,1,33827.65333333333,642955,1035875,12.48,3.9760000000000004,0,2012,11,24,5,47,15668,0,0,0,0,0,0,10.0,4338.516005645934
38,EWR,ORD,10.619047619,12.3636017408,9.43120453853,24.0,24.0,70432.66666666669,1,40186.30133333334,277594,1064475,58419.66666666666,1,75120.345,2719141,1503175,13.0,3.678,0,2012,6,25,0,26,15516,1,1,1,1,1,0,0.0,1153.7288152699984
39,DFW,LAS,11.0,9.453383443160002,9.76028472406,12.0,8.0,53078.66666666666,0,66233.791,1242115,1203175,55440.66666666666,0,46505.605,593275,1068475,13.49,3.945,0,2012,12,20,3,51,15694,0,0,0,0,0,0,4.0,1693.7358514452706
40,DFW,PHL,11.1111111111,10.6498079399,8.245418613060002,12.0,9.0,53078.66666666666,0,66233.791,1242115,1203175,39645.333333333336,0,34276.636,1551824,1031075,13.49,3.945,0,2012,12,20,3,51,15694,0,0,0,0,0,1,3.0,2091.5626556148663
