,date,prix
0,2007-02-05,2.463
1,2007-02-06,2.463
2,2007-02-07,2.463
3,2007-02-08,2.463
4,2007-02-09,2.463
5,2007-02-10,2.463
6,2007-02-11,2.463
7,2007-02-12,2.502
8,2007-02-13,2.502
9,2007-02-14,2.502
10,2007-02-15,2.502
11,2007-02-16,2.502
12,2007-02-17,2.502
13,2007-02-18,2.502
14,2007-02-19,2.515
15,2007-02-20,2.515
16,2007-02-21,2.515
17,2007-02-22,2.515
18,2007-02-23,2.515
19,2007-02-24,2.515
20,2007-02-25,2.515
21,2007-02-26,2.571
22,2007-02-27,2.571
23,2007-02-28,2.571
24,2007-03-01,2.571
25,2007-03-02,2.571
26,2007-03-03,2.571
27,2007-03-04,2.571
28,2007-03-05,2.64
29,2007-03-06,2.64
30,2007-03-07,2.64
31,2007-03-08,2.64
32,2007-03-09,2.64
33,2007-03-10,2.64
34,2007-03-11,2.64
35,2007-03-12,2.695
36,2007-03-13,2.695
37,2007-03-14,2.695
38,2007-03-15,2.695
39,2007-03-16,2.695
40,2007-03-17,2.695
41,2007-03-18,2.695
42,2007-03-19,2.694
43,2007-03-20,2.694
44,2007-03-21,2.694
45,2007-03-22,2.694
46,2007-03-23,2.694
47,2007-03-24,2.694
48,2007-03-25,2.694
49,2007-03-26,2.69
50,2007-03-27,2.69
51,2007-03-28,2.69
52,2007-03-29,2.69
53,2007-03-30,2.69
54,2007-03-31,2.69
55,2007-04-01,2.69
56,2007-04-02,2.803
57,2007-04-03,2.803
58,2007-04-04,2.803
59,2007-04-05,2.803
60,2007-04-06,2.803
61,2007-04-07,2.803
62,2007-04-08,2.803
63,2007-04-09,2.853
64,2007-04-10,2.853
65,2007-04-11,2.853
66,2007-04-12,2.853
67,2007-04-13,2.853
68,2007-04-14,2.853
69,2007-04-15,2.853
70,2007-04-16,2.887
71,2007-04-17,2.887
72,2007-04-18,2.887
73,2007-04-19,2.887
74,2007-04-20,2.887
75,2007-04-21,2.887
76,2007-04-22,2.887
77,2007-04-23,2.863
78,2007-04-24,2.863
79,2007-04-25,2.863
80,2007-04-26,2.863
81,2007-04-27,2.863
82,2007-04-28,2.863
83,2007-04-29,2.863
84,2007-04-30,2.831
85,2007-05-01,2.831
86,2007-05-02,2.831
87,2007-05-03,2.831
88,2007-05-04,2.831
89,2007-05-05,2.831
90,2007-05-06,2.831
91,2007-05-07,2.816
92,2007-05-08,2.816
93,2007-05-09,2.816
94,2007-05-10,2.816
95,2007-05-11,2.816
96,2007-05-12,2.816
97,2007-05-13,2.816
98,2007-05-14,2.797
99,2007-05-15,2.797
100,2007-05-16,2.797
101,2007-05-17,2.797
102,2007-05-18,2.797
103,2007-05-19,2.797
104,2007-05-20,2.797
105,2007-05-21,2.822
106,2007-05-22,2.822
107,2007-05-23,2.822
108,2007-05-24,2.822
109,2007-05-25,2.822
110,2007-05-26,2.822
111,2007-05-27,2.822
112,2007-05-28,2.836
113,2007-05-29,2.836
114,2007-05-30,2.836
115,2007-05-31,2.836
116,2007-06-01,2.836
117,2007-06-02,2.836
118,2007-06-03,2.836
119,2007-06-04,2.819
120,2007-06-05,2.819
121,2007-06-06,2.819
122,2007-06-07,2.819
123,2007-06-08,2.819
124,2007-06-09,2.819
125,2007-06-10,2.819
126,2007-06-11,2.814
127,2007-06-12,2.814
128,2007-06-13,2.814
129,2007-06-14,2.814
130,2007-06-15,2.814
131,2007-06-16,2.814
132,2007-06-17,2.814
133,2007-06-18,2.822
134,2007-06-19,2.822
135,2007-06-20,2.822
136,2007-06-21,2.822
137,2007-06-22,2.822
138,2007-06-23,2.822
139,2007-06-24,2.822
140,2007-06-25,2.847
141,2007-06-26,2.847
142,2007-06-27,2.847
143,2007-06-28,2.847
144,2007-06-29,2.847
145,2007-06-30,2.847
146,2007-07-01,2.847
147,2007-07-02,2.842
148,2007-07-03,2.842
149,2007-07-04,2.842
150,2007-07-05,2.842
151,2007-07-06,2.842
152,2007-07-07,2.842
153,2007-07-08,2.842
154,2007-07-09,2.859
155,2007-07-10,2.859
156,2007-07-11,2.859
157,2007-07-12,2.859
158,2007-07-13,2.859
159,2007-07-14,2.859
160,2007-07-15,2.859
161,2007-07-16,2.902
162,2007-07-17,2.902
163,2007-07-18,2.902
164,2007-07-19,2.902
165,2007-07-20,2.902
166,2007-07-21,2.902
167,2007-07-22,2.902
168,2007-07-23,2.903
169,2007-07-24,2.903
170,2007-07-25,2.903
171,2007-07-26,2.903
172,2007-07-27,2.903
173,2007-07-28,2.903
174,2007-07-29,2.903
175,2007-07-30,2.899
176,2007-07-31,2.899
177,2007-08-01,2.899
178,2007-08-02,2.899
179,2007-08-03,2.899
180,2007-08-04,2.899
181,2007-08-05,2.899
182,2007-08-06,2.91
183,2007-08-07,2.91
184,2007-08-08,2.91
185,2007-08-09,2.91
186,2007-08-10,2.91
187,2007-08-11,2.91
188,2007-08-12,2.91
189,2007-08-13,2.861
190,2007-08-14,2.861
191,2007-08-15,2.861
192,2007-08-16,2.861
193,2007-08-17,2.861
194,2007-08-18,2.861
195,2007-08-19,2.861
196,2007-08-20,2.878
197,2007-08-21,2.878
198,2007-08-22,2.878
199,2007-08-23,2.878
200,2007-08-24,2.878
201,2007-08-25,2.878
202,2007-08-26,2.878
203,2007-08-27,2.873
204,2007-08-28,2.873
205,2007-08-29,2.873
206,2007-08-30,2.873
207,2007-08-31,2.873
208,2007-09-01,2.873
209,2007-09-02,2.873
210,2007-09-03,2.901
211,2007-09-04,2.901
212,2007-09-05,2.901
213,2007-09-06,2.901
214,2007-09-07,2.901
215,2007-09-08,2.901
216,2007-09-09,2.901
217,2007-09-10,2.932
218,2007-09-11,2.932
219,2007-09-12,2.932
220,2007-09-13,2.932
221,2007-09-14,2.932
222,2007-09-15,2.932
223,2007-09-16,2.932
224,2007-09-17,2.971
225,2007-09-18,2.971
226,2007-09-19,2.971
227,2007-09-20,2.971
228,2007-09-21,2.971
229,2007-09-22,2.971
230,2007-09-23,2.971
231,2007-09-24,3.038
232,2007-09-25,3.038
233,2007-09-26,3.038
234,2007-09-27,3.038
235,2007-09-28,3.038
236,2007-09-29,3.038
237,2007-09-30,3.038
238,2007-10-01,3.055
239,2007-10-02,3.055
240,2007-10-03,3.055
241,2007-10-04,3.055
242,2007-10-05,3.055
243,2007-10-06,3.055
244,2007-10-07,3.055
245,2007-10-08,3.046
246,2007-10-09,3.046
247,2007-10-10,3.046
248,2007-10-11,3.046
249,2007-10-12,3.046
