,Date,AirPort,Max TemperatureC,Min TemperatureC,city,population,latitude_deg,longitude_deg,local_code,scheduled_service,score,Dernier,is_holiday
0,2011-09-01,ATL,35,24,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,3.088,0
1,2011-09-01,ORD,34,22,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,3.088,0
2,2011-09-01,LAX,21,15,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,3.088,0
3,2011-09-01,DFW,38,27,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,3.088,0
4,2011-09-01,DEN,36,20,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,3.088,0
5,2011-09-01,JFK,27,19,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,3.088,0
6,2011-09-01,SFO,22,12,"San Francisco city, California",828876,37.61899948120117,-122.375,SFO,1,1112475,3.088,0
7,2011-09-01,CLT,33,17,"Charlotte city, North Carolina",773264,35.2140007019043,-80.94309997558594,CLT,1,1028075,3.088,0
8,2011-09-01,LAS,39,26,"Las Vegas city, Nevada",593275,36.08010101,-115.1520004,LAS,1,1068475,3.088,0
9,2011-09-01,PHX,44,32,"Phoenix city, Arizona",1499274,33.43429946899414,-112.01200103759766,PHX,1,1060875,3.088,0
10,2011-09-01,IAH,39,25,"Houston city, Texas",2161593,29.984399795532227,-95.34140014648438,IAH,1,1055675,3.088,0
11,2011-09-01,MIA,32,25,"Miami city, Florida",411149,25.79319953918457,-80.29060363769531,MIA,1,1073075,3.088,0
12,2011-09-01,MCO,32,23,"Orlando city, Florida",249935,28.429399490356445,-81.30899810791016,MCO,1,1044075,3.088,0
13,2011-09-01,EWR,28,19,"Newark city, New Jersey",277594,40.692501068115234,-74.168701171875,EWR,1,1064475,3.088,0
14,2011-09-01,SEA,23,10,"Seattle city, Washington",635928,47.449001,-122.308998,SEA,1,1038675,3.088,0
15,2011-09-01,MSP,34,22,"Minneapolis city, Minnesota",392768,44.882,-93.221802,MSP,1,1085275,3.088,0
16,2011-09-01,DTW,33,22,"Detroit city, Michigan",700183,42.212398529052734,-83.35340118408203,DTW,1,1079375,3.088,0
17,2011-09-01,PHL,28,17,"Philadelphia city, Pennsylvania",1551824,39.87189865112305,-75.24109649658203,PHL,1,1031075,3.088,0
18,2011-09-01,BOS,22,17,"Boston city, Massachusetts",642955,42.36429977,-71.00520325,BOS,1,1035875,3.088,0
19,2011-09-01,LGA,27,21,"New York city, New York",8346693,40.777199,-73.872597,LGA,1,1030575,3.088,0
20,2011-09-02,ATL,36,22,"Atlanta city, Georgia",449016,33.6367,-84.428101,ATL,1,2002475,3.038,0
21,2011-09-02,ORD,33,24,"Chicago city, Illinois",2719141,41.9786,-87.9048,ORD,1,1503175,3.038,0
22,2011-09-02,LAX,19,14,"Los Angeles city, California",3851202,33.942501,-118.407997,LAX,1,1335475,3.038,0
23,2011-09-02,DFW,38,28,"Dallas city, Texas",1242115,32.896801,-97.038002,DFW,1,1203175,3.038,0
24,2011-09-02,DEN,31,14,"Denver city, Colorado",635163,39.861698150635,-104.672996521,DEN,1,1103275,3.038,0
25,2011-09-02,JFK,24,17,"New York city, New York",8346693,40.639801,-73.7789,JFK,1,1052075,3.038,0
